session_id,gesture_id,result,bias_gx,bias_gz,proc_gx,proc_gy,proc_gz,proc_btn,acc_v,acc_h,peak_v_pos,peak_v_neg,peak_h_pos,peak_h_neg,mag_v,mag_h,flags,flags_text,n_frames,duration_ms,latency_ms,t_press_ms,t_release_ms,t_pic_ms,peak_raw_gx,peak_raw_gz,mean_gx,mean_gz,std_gx,std_gz,max_abs_gx,max_abs_gz,min_gx,max_gx,min_gz,max_gz,mean_gy,std_gy,cal_bias_computed_gx,cal_bias_computed_gz,frame_00_gx,frame_00_gy,frame_00_gz,frame_00_t_ms,frame_01_gx,frame_01_gy,frame_01_gz,frame_01_t_ms,frame_02_gx,frame_02_gy,frame_02_gz,frame_02_t_ms,frame_03_gx,frame_03_gy,frame_03_gz,frame_03_t_ms,frame_04_gx,frame_04_gy,frame_04_gz,frame_04_t_ms,frame_05_gx,frame_05_gy,frame_05_gz,frame_05_t_ms,frame_06_gx,frame_06_gy,frame_06_gz,frame_06_t_ms,frame_07_gx,frame_07_gy,frame_07_gz,frame_07_t_ms,frame_08_gx,frame_08_gy,frame_08_gz,frame_08_t_ms,frame_09_gx,frame_09_gy,frame_09_gz,frame_09_t_ms,frame_10_gx,frame_10_gy,frame_10_gz,frame_10_t_ms,frame_11_gx,frame_11_gy,frame_11_gz,frame_11_t_ms,frame_12_gx,frame_12_gy,frame_12_gz,frame_12_t_ms,frame_13_gx,frame_13_gy,frame_13_gz,frame_13_t_ms,frame_14_gx,frame_14_gy,frame_14_gz,frame_14_t_ms,frame_15_gx,frame_15_gy,frame_15_gz,frame_15_t_ms,frame_16_gx,frame_16_gy,frame_16_gz,frame_16_t_ms,frame_17_gx,frame_17_gy,frame_17_gz,frame_17_t_ms,frame_18_gx,frame_18_gy,frame_18_gz,frame_18_t_ms,frame_19_gx,frame_19_gy,frame_19_gz,frame_19_t_ms,frame_20_gx,frame_20_gy,frame_20_gz,frame_20_t_ms,frame_21_gx,frame_21_gy,frame_21_gz,frame_21_t_ms,frame_22_gx,frame_22_gy,frame_22_gz,frame_22_t_ms,frame_23_gx,frame_23_gy,frame_23_gz,frame_23_t_ms,frame_24_gx,frame_24_gy,frame_24_gz,frame_24_t_ms,frame_25_gx,frame_25_gy,frame_25_gz,frame_25_t_ms,frame_26_gx,frame_26_gy,frame_26_gz,frame_26_t_ms,frame_27_gx,frame_27_gy,frame_27_gz,frame_27_t_ms,frame_28_gx,frame_28_gy,frame_28_gz,frame_28_t_ms,frame_29_gx,frame_29_gy,frame_29_gz,frame_29_t_ms
20260320_121139,1,D,-9,63,-18386,1166,-230,0,-185993,13268,0,28451,2536,0,28451,2536,0x2E,V>TH|H>TH|VDOM|CHOSE_V,8,140.29,16.46,5131.15,5271.44,5287.9,28460,2599,-25555.25,1684.88,3705.9,879.12,28460,2599,-28460,-18386,-230,2599,-5584.38,3889.49,,,-28340,-957,2599,0.0,-28222,-7618,2393,29.23,-28460,-9607,2044,45.13,-27943,-8445,1371,62.34,-26345,-6985,1915,80.09,-25044,-8101,1944,112.22,-21702,-4128,1443,123.36,-18386,1166,-230,140.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,2,D,-9,63,-12456,7894,-5207,0,-165886,-32878,0,32759,0,8027,32759,8027,0x2E,V>TH|H>TH|VDOM|CHOSE_V,9,159.08,0.19,5642.17,5801.25,5801.44,32768,7964,-27053.89,-5699.33,7057.91,2428.77,32768,7964,-32768,-12456,-7964,-427,-962.33,4414.38,,,-22617,-5110,-427,0.0,-29604,-1822,-3963,28.14,-32691,-1842,-7916,44.14,-32768,-4500,-7964,44.23,-32768,-4943,-5302,79.12,-32398,-2832,-5671,96.22,-26923,474,-7438,106.73,-21260,4020,-7406,123.29,-12456,7894,-5207,159.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,3,D,-9,63,158,8537,-619,0,-148020,-8751,0,29386,1017,2763,29386,2763,0x2E,V>TH|H>TH|VDOM|CHOSE_V,9,160.77,0.11,6197.67,6358.44,6358.55,29395,2700,-19673.0,-1129.56,11648.21,1083.63,29395,2700,-29395,158,-2700,1080,-1886.78,6249.64,,,-29132,-8170,-1237,0.0,-29395,-6887,-2700,17.09,-29364,-4668,-1021,34.54,-27604,-5150,1080,46.47,-25619,-5893,-452,81.2,-21098,-4437,-2032,99.14,-10476,2869,-1765,111.12,-4527,6818,-1420,144.51,158,8537,-619,160.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,4,D,-9,63,2551,7035,-3875,0,-138184,6941,0,26710,2723,1468,26710,2723,0x2E,V>TH|H>TH|VDOM|CHOSE_V,9,157.53,31.75,6757.5,6915.03,6946.78,26719,2786,-20379.11,319.0,6542.29,1859.91,26719,2786,-26719,-5481,-2354,2786,875.22,7032.1,,,-18660,-585,-342,0.0,-17438,1368,-1405,16.32,-21033,8997,-1752,49.53,-24870,10325,690,61.57,-25834,4237,1765,77.79,-26719,-9189,2226,94.71,-24416,-9011,2786,128.76,-18961,-2850,1257,146.32,-5481,4585,-2354,157.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,5,D,-9,63,-9963,433,86,0,-133227,18496,0,32759,11069,791,32759,11069,0x2E,V>TH|H>TH|VDOM|CHOSE_V,7,145.6,0.29,7316.77,7462.37,7462.66,32768,11132,-25138.0,2957.29,9228.7,5002.51,32768,11132,-32768,-9963,-728,11132,-4685.0,2965.55,,,-32729,-6466,11132,0.0,-32768,-7293,9128,34.5,-32731,-6348,1804,45.47,-28705,-6892,-166,61.69,-23518,-4534,-728,79.49,-15552,-1695,-555,111.53,-9963,433,86,145.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,6,D,-9,63,-19355,-7966,-2279,0,-162685,10816,0,32759,3995,312,32759,3995,0x2E,V>TH|H>TH|VDOM|CHOSE_V,7,131.99,27.03,7809.45,7941.44,7968.47,32768,4442,-31387.43,1934.86,2099.27,2333.98,32768,4442,-32768,-27499,-2029,4442,-6678.29,7995.66,,,-27499,4119,4442,0.0,-31659,4000,4058,33.38,-32768,-6224,2958,51.09,-32768,-14356,2529,68.26,-32768,-15400,1835,97.76,-32767,-10553,-249,114.97,-29483,-8334,-2029,131.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,7,D,-9,63,-17243,-428,-2022,0,-109230,3646,0,28721,3132,1725,28721,3132,0x2E,V>TH|H>TH|VDOM|CHOSE_V,7,111.02,32.14,8323.58,8434.6,8466.74,29143,3195,-22237.29,169.57,6033.29,2194.41,29143,3195,-29143,-13155,-2022,3195,-4367.86,5377.42,,,-13155,2187,3109,0.0,-18829,-258,3195,16.82,-25043,-5678,546,28.25,-29143,-12140,-752,62.28,-28730,-10350,-1227,79.79,-23518,-3908,-1662,94.95,-17243,-428,-2022,111.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,8,U,-9,63,9903,2902,446,0,13052,-12717,8472,6332,0,4954,8472,4954,0x2E,V>TH|H>TH|VDOM|CHOSE_V,5,62.0,17.01,8960.31,9022.31,9039.32,9903,4891,4583.8,-2403.8,6499.54,2281.72,9903,4891,-6341,9903,-4891,446,3386.4,2533.82,,,-6341,-244,-3861,0.0,3899,6240,-4891,16.64,6995,5307,-3234,33.78,8463,2727,-479,50.99,9903,2902,446,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,9,D,-9,63,-9739,-3909,-3301,0,-114546,-724,0,21099,925,2353,21099,2353,0x2E,V>TH|H>TH|VDOM|CHOSE_V,7,127.01,17.59,9486.94,9613.94,9631.53,21108,3301,-17762.71,-521.0,4059.66,1642.72,21108,3301,-21108,-9739,-3301,988,-8063.57,2598.22,,,-21108,-12085,795,0.0,-20629,-9741,988,16.62,-20218,-6442,473,33.96,-19176,-7064,31,50.04,-18309,-8760,-343,79.85,-15160,-8444,-2290,97.05,-9739,-3909,-3301,127.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,10,D,-9,63,-14743,-6296,448,0,-122963,9281,0,28738,2620,0,28738,2620,0x2E,V>TH|H>TH|VDOM|CHOSE_V,8,129.43,0.14,9950.3,10079.73,10079.87,29704,2683,-24262.62,1589.5,5427.51,863.64,29704,2683,-29704,-14743,448,2683,-6510.88,3398.03,,,-18186,-457,2662,0.0,-22490,-2170,2683,16.02,-26646,-8612,1033,32.54,-28705,-9699,542,48.88,-29704,-8356,1639,82.19,-28747,-7453,1960,82.37,-24880,-9044,1749,93.91,-14743,-6296,448,129.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
