session_id,gesture_id,result,bias_gx,bias_gz,proc_gx,proc_gy,proc_gz,proc_btn,acc_v,acc_h,peak_v_pos,peak_v_neg,peak_h_pos,peak_h_neg,mag_v,mag_h,flags,flags_text,n_frames,duration_ms,latency_ms,t_press_ms,t_release_ms,t_pic_ms,peak_raw_gx,peak_raw_gz,mean_gx,mean_gz,std_gx,std_gz,max_abs_gx,max_abs_gz,min_gx,max_gx,min_gz,max_gz,mean_gy,std_gy,cal_bias_computed_gx,cal_bias_computed_gz,frame_00_gx,frame_00_gy,frame_00_gz,frame_00_t_ms,frame_01_gx,frame_01_gy,frame_01_gz,frame_01_t_ms,frame_02_gx,frame_02_gy,frame_02_gz,frame_02_t_ms,frame_03_gx,frame_03_gy,frame_03_gz,frame_03_t_ms,frame_04_gx,frame_04_gy,frame_04_gz,frame_04_t_ms,frame_05_gx,frame_05_gy,frame_05_gz,frame_05_t_ms,frame_06_gx,frame_06_gy,frame_06_gz,frame_06_t_ms,frame_07_gx,frame_07_gy,frame_07_gz,frame_07_t_ms,frame_08_gx,frame_08_gy,frame_08_gz,frame_08_t_ms,frame_09_gx,frame_09_gy,frame_09_gz,frame_09_t_ms,frame_10_gx,frame_10_gy,frame_10_gz,frame_10_t_ms,frame_11_gx,frame_11_gy,frame_11_gz,frame_11_t_ms,frame_12_gx,frame_12_gy,frame_12_gz,frame_12_t_ms,frame_13_gx,frame_13_gy,frame_13_gz,frame_13_t_ms,frame_14_gx,frame_14_gy,frame_14_gz,frame_14_t_ms,frame_15_gx,frame_15_gy,frame_15_gz,frame_15_t_ms,frame_16_gx,frame_16_gy,frame_16_gz,frame_16_t_ms,frame_17_gx,frame_17_gy,frame_17_gz,frame_17_t_ms,frame_18_gx,frame_18_gy,frame_18_gz,frame_18_t_ms,frame_19_gx,frame_19_gy,frame_19_gz,frame_19_t_ms,frame_20_gx,frame_20_gy,frame_20_gz,frame_20_t_ms,frame_21_gx,frame_21_gy,frame_21_gz,frame_21_t_ms,frame_22_gx,frame_22_gy,frame_22_gz,frame_22_t_ms,frame_23_gx,frame_23_gy,frame_23_gz,frame_23_t_ms,frame_24_gx,frame_24_gy,frame_24_gz,frame_24_t_ms,frame_25_gx,frame_25_gy,frame_25_gz,frame_25_t_ms,frame_26_gx,frame_26_gy,frame_26_gz,frame_26_t_ms,frame_27_gx,frame_27_gy,frame_27_gz,frame_27_t_ms,frame_28_gx,frame_28_gy,frame_28_gz,frame_28_t_ms,frame_29_gx,frame_29_gy,frame_29_gz,frame_29_t_ms
20260320_121354,1,L,-9,63,1387,5604,3002,0,-38118,203797,0,6061,29272,0,6061,29272,0x56,V>TH|H>TH|HDOM|CHOSE_H,12,206.03,33.3,5226.29,5432.32,5465.63,6342,29335,-3706.75,19952.83,2083.71,7757.91,6342,29335,-6342,69,8864,29335,-2254.92,1966.62,,,-3079,-4095,8864,0.0,-1565,-2908,10729,11.96,-1968,-2482,19512,29.91,-3614,-1642,26546,47.82,-5290,-2550,29335,77.72,-5594,-3093,27872,107.65,-6070,-2328,26446,107.8,-6342,-1973,25809,143.52,-5521,-4003,24118,143.75,-3698,-4344,17795,173.38,-1809,-612,13210,188.86,69,2971,9198,206.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121354,2,L,-9,63,-5087,3669,12671,0,-22870,151903,2984,11775,32700,0,11775,32700,0x56,V>TH|H>TH|HDOM|CHOSE_H,8,130.19,16.52,6803.42,6933.61,6950.14,11784,32763,-4142.62,22405.75,5219.86,8962.14,11784,32763,-11784,2975,12671,32763,389.0,3245.39,,,-11784,-4044,32763,0.0,-10533,-3340,32763,31.75,-3410,-2356,32687,31.91,2975,3622,21908,65.06,1576,3607,16837,81.79,-1748,1412,15323,98.06,-5130,542,14294,114.6,-5087,3669,12671,130.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121354,3,L,-9,63,-5567,-428,29996,0,-30490,152605,0,10759,32622,0,10759,32622,0x56,V>TH|H>TH|HDOM|CHOSE_H,9,174.76,0.15,7746.42,7921.19,7921.34,11312,32693,-5270.22,23970.56,3868.61,9260.84,11312,32693,-11312,-768,7059,32693,-1395.67,3238.0,,,-4109,-1679,7059,0.0,-3110,1019,13321,29.66,-1525,1098,18314,46.89,-768,1522,23267,81.35,-2630,1643,26836,96.71,-7643,-2851,31564,113.18,-10768,-6386,32685,146.62,-11312,-6499,32693,146.82,-5567,-428,29996,174.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121354,4,L,-9,63,526,8817,26603,0,-6980,134132,3072,5319,28078,0,5319,28078,0x56,V>TH|H>TH|HDOM|CHOSE_H,10,179.34,11.96,8511.63,8690.97,8702.92,5328,28141,-915.6,22901.4,3309.57,3576.08,5328,28141,-5328,4344,18473,28141,2652.3,4005.21,,,-5328,-3495,21227,0.0,-3822,-2328,21587,33.52,2129,985,20262,50.96,4344,3112,18754,68.18,3063,3257,18473,79.52,-1853,1098,21835,96.53,-4055,1616,24572,131.83,-3170,5376,27560,143.51,-990,8085,28141,161.46,526,8817,26603,179.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121354,5,L,-9,63,-14890,22235,22796,0,-66538,145803,0,13829,24752,0,13829,24752,0x56,V>TH|H>TH|HDOM|CHOSE_H,11,189.93,31.66,9263.4,9453.33,9484.99,14890,24815,-8676.0,16661.55,3423.37,7261.63,14890,24815,-14890,-5544,2860,24815,5142.64,6382.77,,,-6998,2213,2860,0.0,-7266,2087,7813,16.95,-6938,2426,11314,33.54,-6687,5136,13564,45.62,-5544,5462,14914,79.93,-5611,5372,17679,95.79,-6308,1145,20155,112.43,-8764,-1511,22870,146.97,-12592,2256,24815,157.23,-13838,9748,24497,178.17,-14890,22235,22796,189.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121354,6,L,-9,63,-3077,971,22934,0,-8957,133522,4197,6935,29344,1941,6935,29344,0x56,V>TH|H>TH|HDOM|CHOSE_H,9,158.79,16.35,9904.2,10062.99,10079.34,6944,29407,-1606.89,20216.78,4016.28,10716.55,6944,29407,-6944,4188,-1878,29407,1574.11,5123.83,,,1393,3818,-1878,0.0,4188,8845,8278,11.35,4003,9255,16134,46.88,-2365,2470,25054,63.78,-5933,-3498,28478,79.74,-6944,-5435,29407,96.11,-3838,-2246,27757,107.16,-1889,-13,25787,140.94,-3077,971,22934,158.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121354,7,L,-9,63,-2713,47,28037,0,-23326,116377,2639,10559,32700,12728,10559,32700,0x56,V>TH|H>TH|HDOM|CHOSE_H,9,142.46,35.95,10429.11,10571.57,10607.52,10568,32763,-4050.33,19735.33,4724.93,17191.65,10568,32763,-10568,2630,-12665,32763,-1695.56,5380.95,,,2630,-2384,-12665,0.0,1081,2643,-4711,29.16,-1078,5330,14492,29.27,-2681,3900,24914,46.79,-5374,-1196,31019,82.69,-10568,-9027,32763,94.62,-10351,-9748,32763,112.59,-7399,-4825,31006,130.53,-2713,47,28037,142.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121354,8,L,-9,63,-909,9315,27969,0,-19266,109201,0,5402,30517,5759,5402,30517,0x56,V>TH|H>TH|HDOM|CHOSE_H,9,143.24,17.9,10971.16,11114.39,11132.29,5411,30875,-2777.56,18720.67,1623.63,13577.9,5411,30875,-5411,-909,-5696,30875,6360.44,2618.39,,,-2563,3063,-5696,0.0,-2395,2866,1376,17.76,-1069,5131,10219,30.0,-1651,9443,20236,65.6,-2091,9461,24286,65.88,-4149,7090,28641,95.36,-5411,5730,30580,113.34,-4760,5145,30875,131.23,-909,9315,27969,143.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121354,9,L,-9,63,8422,295,12854,0,50475,154057,12895,5510,18851,5230,12895,18851,0x56,V>TH|H>TH|HDOM|CHOSE_H,12,208.9,31.75,11546.33,11755.23,11786.98,12886,18914,4899.83,13967.0,7060.16,6854.74,12886,18914,-5519,12886,-5167,18914,2191.58,5075.14,,,-4507,-3069,-5167,0.0,-5519,-5264,7908,16.78,-4525,-3647,13617,34.98,-1596,-587,17763,62.32,4032,-163,18914,79.05,6970,1269,18168,114.11,8709,5870,18590,126.01,10456,7758,18540,143.93,12049,8554,17489,161.72,12886,9032,15159,173.71,11421,6251,13769,191.64,8422,295,12854,208.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121354,10,L,-9,63,1929,-1770,6032,0,43726,212003,8006,5677,24009,0,8006,24009,0x56,V>TH|H>TH|HDOM|CHOSE_H,14,257.9,29.13,12281.45,12539.36,12568.48,7997,24072,3252.71,15632.43,3610.64,6673.16,7997,24072,-5686,7997,6032,24072,1024.36,3501.4,,,-5686,-3131,7056,0.0,-2069,641,12761,16.55,1826,4375,18455,45.31,3397,2450,20611,63.47,4052,1644,22513,79.39,4192,-334,23793,114.61,3662,-3294,24072,126.46,3484,-3952,22038,144.32,4475,-71,19321,178.53,6921,5534,14443,189.74,7997,6936,11398,206.55,7478,5249,9174,222.8,3880,64,7187,240.01,1929,-1770,6032,257.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
