session_id,gesture_id,result,bias_gx,bias_gz,proc_gx,proc_gy,proc_gz,proc_btn,acc_v,acc_h,peak_v_pos,peak_v_neg,peak_h_pos,peak_h_neg,mag_v,mag_h,flags,flags_text,n_frames,duration_ms,latency_ms,t_press_ms,t_release_ms,t_pic_ms,peak_raw_gx,peak_raw_gz,mean_gx,mean_gz,std_gx,std_gz,max_abs_gx,max_abs_gz,min_gx,max_gx,min_gz,max_gz,mean_gy,std_gy,cal_bias_computed_gx,cal_bias_computed_gz,frame_00_gx,frame_00_gy,frame_00_gz,frame_00_t_ms,frame_01_gx,frame_01_gy,frame_01_gz,frame_01_t_ms,frame_02_gx,frame_02_gy,frame_02_gz,frame_02_t_ms,frame_03_gx,frame_03_gy,frame_03_gz,frame_03_t_ms,frame_04_gx,frame_04_gy,frame_04_gz,frame_04_t_ms,frame_05_gx,frame_05_gy,frame_05_gz,frame_05_t_ms,frame_06_gx,frame_06_gy,frame_06_gz,frame_06_t_ms,frame_07_gx,frame_07_gy,frame_07_gz,frame_07_t_ms,frame_08_gx,frame_08_gy,frame_08_gz,frame_08_t_ms,frame_09_gx,frame_09_gy,frame_09_gz,frame_09_t_ms,frame_10_gx,frame_10_gy,frame_10_gz,frame_10_t_ms,frame_11_gx,frame_11_gy,frame_11_gz,frame_11_t_ms,frame_12_gx,frame_12_gy,frame_12_gz,frame_12_t_ms,frame_13_gx,frame_13_gy,frame_13_gz,frame_13_t_ms,frame_14_gx,frame_14_gy,frame_14_gz,frame_14_t_ms,frame_15_gx,frame_15_gy,frame_15_gz,frame_15_t_ms,frame_16_gx,frame_16_gy,frame_16_gz,frame_16_t_ms,frame_17_gx,frame_17_gy,frame_17_gz,frame_17_t_ms,frame_18_gx,frame_18_gy,frame_18_gz,frame_18_t_ms,frame_19_gx,frame_19_gy,frame_19_gz,frame_19_t_ms,frame_20_gx,frame_20_gy,frame_20_gz,frame_20_t_ms,frame_21_gx,frame_21_gy,frame_21_gz,frame_21_t_ms,frame_22_gx,frame_22_gy,frame_22_gz,frame_22_t_ms,frame_23_gx,frame_23_gy,frame_23_gz,frame_23_t_ms,frame_24_gx,frame_24_gy,frame_24_gz,frame_24_t_ms,frame_25_gx,frame_25_gy,frame_25_gz,frame_25_t_ms,frame_26_gx,frame_26_gy,frame_26_gz,frame_26_t_ms,frame_27_gx,frame_27_gy,frame_27_gz,frame_27_t_ms,frame_28_gx,frame_28_gy,frame_28_gz,frame_28_t_ms,frame_29_gx,frame_29_gy,frame_29_gz,frame_29_t_ms
20260320_121648,1,R,-9,63,-2869,589,-29501,0,11259,-140663,2548,1830,0,31616,2548,31616,0x56,V>TH|H>TH|HDOM|CHOSE_H,10,190.96,17.23,2430.76,2621.72,2638.95,2869,31553,830.9,-16959.7,1770.99,12092.45,2869,31553,-2869,2539,-31553,-773,80.3,1719.36,,,1741,-671,-773,0.0,1332,-2273,-2070,17.81,1663,-2334,-4754,47.67,2539,-988,-10670,65.37,2233,-539,-14116,77.33,1413,717,-20063,95.27,1449,1736,-25823,125.25,647,2141,-30274,143.12,-1839,2425,-31553,161.04,-2869,589,-29501,190.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121648,2,R,-9,63,-288,-1429,-24608,0,-6565,-176408,3227,4158,925,29542,4158,29542,0x56,V>TH|H>TH|HDOM|CHOSE_H,10,190.21,15.7,2928.36,3118.57,3134.27,4167,29479,-693.4,-20044.9,2364.16,10432.28,4167,29479,-4167,3218,-29479,988,330.9,1952.52,,,3218,-317,988,0.0,1747,-2371,-6937,29.1,408,-2084,-12906,44.5,-85,1880,-20191,78.26,-3,3467,-23097,96.2,-1276,2563,-27037,108.09,-4083,789,-28912,126.07,-4167,740,-29479,144.09,-2405,71,-28270,155.8,-288,-1429,-24608,190.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121648,3,R,-9,63,-306,4704,-9113,0,5244,-145717,8587,3723,0,22121,8587,22121,0x56,V>TH|H>TH|HDOM|CHOSE_H,9,143.73,28.75,3423.21,3566.94,3595.68,8578,22058,540.67,-17147.33,3775.67,4688.23,8578,22058,-3732,8578,-22058,-9113,4720.89,2047.26,,,8578,4924,-14629,0.0,4389,3609,-21321,11.91,-316,1122,-22058,29.86,-3732,2769,-21596,47.81,-3008,8134,-20209,77.79,-240,6279,-18282,95.67,240,5099,-15457,107.69,-739,5848,-11661,143.58,-306,4704,-9113,143.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121648,4,R,-9,63,4853,2174,-12234,0,6844,-206546,5496,6589,2762,31998,6589,31998,0x56,V>TH|H>TH|HDOM|CHOSE_H,11,209.79,17.95,3850.2,4059.99,4077.94,6598,31935,1055.18,-19831.82,4467.23,11303.31,6598,31935,-6598,5487,-31935,2825,2852.09,1553.49,,,4561,-856,2825,0.0,5487,1277,-5495,33.35,4541,4376,-17370,50.39,2268,4354,-23504,67.79,-101,3701,-29659,79.79,-4423,3687,-31935,97.91,-6598,2715,-31916,116.25,-4369,2742,-28010,145.6,-33,3984,-23949,162.65,5421,3219,-16903,191.8,4853,2174,-12234,209.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121648,5,R,-9,63,485,-279,-6007,0,-19182,-235956,2253,4416,0,28788,4416,28788,0x56,V>TH|H>TH|HDOM|CHOSE_H,11,190.68,17.98,4425.54,4616.23,4634.21,4425,28725,-1707.91,-21939.36,2226.19,7484.75,4425,28725,-4425,2244,-28725,-6007,-74.45,1247.75,,,2244,2439,-17774,0.0,132,1446,-21036,16.69,-1652,-251,-24991,32.89,-3348,-881,-26930,49.28,-4203,-1418,-28510,83.58,-4425,-1829,-28725,83.77,-4237,-344,-28144,112.99,-2362,745,-26185,130.91,-1273,298,-21486,142.95,-148,-745,-11545,178.8,485,-279,-6007,190.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121648,6,R,-9,63,-2180,366,-25606,0,7974,-190620,8228,4749,0,31862,8228,31862,0x56,V>TH|H>TH|HDOM|CHOSE_H,9,162.14,11.96,4922.15,5084.29,5096.25,8219,31799,635.78,-23969.11,4788.25,10484.18,8219,31799,-4758,8219,-31799,-1058,1257.0,1366.78,,,6855,1028,-1058,0.0,8219,370,-12225,16.36,3939,941,-25160,33.41,1214,2426,-29091,49.38,-418,3978,-31612,78.41,-2478,2210,-31799,96.34,-4671,-426,-30882,114.26,-4758,420,-28289,144.18,-2180,366,-25606,162.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121648,7,R,-9,63,1083,1743,-11394,0,7433,-202706,7087,2178,0,28623,7087,28623,0x56,V>TH|H>TH|HDOM|CHOSE_H,11,197.2,11.18,5462.29,5659.49,5670.68,7078,28560,1296.09,-20852.27,3105.16,6351.72,7078,28560,-2187,7078,-28560,-9944,1573.82,1293.01,,,7078,3362,-9944,0.0,5822,2851,-15842,35.62,3404,287,-21166,35.73,2197,-364,-24083,47.62,925,1352,-27499,83.55,-1340,3582,-28560,101.41,-2016,2024,-26925,112.68,-2187,358,-24171,129.81,-1240,779,-21634,146.05,531,1338,-18157,179.31,1083,1743,-11394,197.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121648,8,R,-9,63,2757,3211,-6144,0,20190,-180974,8416,4847,352,26492,8416,26492,0x56,V>TH|H>TH|HDOM|CHOSE_H,11,207.19,17.89,5976.83,6184.02,6201.91,8407,26429,2077.91,-16953.45,4394.54,8827.43,8407,26429,-4856,8407,-26429,415,4609.36,1067.15,,,8252,6134,415,0.0,8407,4768,-11786,17.11,5657,4105,-17797,28.35,2134,3759,-22008,63.51,-3501,5654,-24282,81.48,-4856,6168,-25448,93.43,-2285,5381,-26429,128.29,668,3529,-23848,144.43,2385,3807,-18662,160.52,3239,4187,-10499,176.32,2757,3211,-6144,207.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121648,9,R,-9,63,2890,4435,2814,0,14508,-137567,5490,991,0,18437,5490,18437,0x56,V>TH|H>TH|HDOM|CHOSE_H,11,205.26,0.1,6518.44,6723.69,6723.79,5481,19275,1505.27,-13951.0,2112.62,6986.02,5481,19275,-1000,5481,-19275,2814,3600.73,4024.76,,,-1000,-4776,-16931,0.0,-538,-2836,-17106,17.93,3075,4820,-17801,47.87,5481,6482,-17944,65.75,3458,8597,-16940,77.7,286,6648,-18374,94.83,-759,3927,-19275,128.14,275,3744,-15503,145.31,700,2768,-12200,161.62,2690,5799,-4201,178.18,2890,4435,2814,205.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121648,10,R,-9,63,374,5396,-14776,0,37544,-156590,8182,0,7931,28726,8182,28726,0x56,V>TH|H>TH|HDOM|CHOSE_H,11,209.26,0.06,6979.66,7188.92,7188.98,8173,28663,3611.55,-17644.45,2678.67,10791.16,8173,28663,374,8173,-28663,7994,5823.36,4760.81,,,671,-5381,7994,0.0,4537,-360,-7675,17.9,6315,6422,-13518,35.84,8173,9051,-17137,47.79,6815,9146,-24385,83.66,4499,11556,-27618,95.61,3113,8246,-28663,113.54,2632,6576,-26795,143.43,1890,6564,-23290,179.3,708,6841,-18226,179.46,374,5396,-14776,209.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
