session_id,gesture_id,result,bias_gx,bias_gz,proc_gx,proc_gy,proc_gz,proc_btn,acc_v,acc_h,peak_v_pos,peak_v_neg,peak_h_pos,peak_h_neg,mag_v,mag_h,flags,flags_text,n_frames,duration_ms,latency_ms,t_press_ms,t_release_ms,t_pic_ms,peak_raw_gx,peak_raw_gz,mean_gx,mean_gz,std_gx,std_gz,max_abs_gx,max_abs_gz,min_gx,max_gx,min_gz,max_gz,mean_gy,std_gy,cal_bias_computed_gx,cal_bias_computed_gz,frame_00_gx,frame_00_gy,frame_00_gz,frame_00_t_ms,frame_01_gx,frame_01_gy,frame_01_gz,frame_01_t_ms,frame_02_gx,frame_02_gy,frame_02_gz,frame_02_t_ms,frame_03_gx,frame_03_gy,frame_03_gz,frame_03_t_ms,frame_04_gx,frame_04_gy,frame_04_gz,frame_04_t_ms,frame_05_gx,frame_05_gy,frame_05_gz,frame_05_t_ms,frame_06_gx,frame_06_gy,frame_06_gz,frame_06_t_ms,frame_07_gx,frame_07_gy,frame_07_gz,frame_07_t_ms,frame_08_gx,frame_08_gy,frame_08_gz,frame_08_t_ms,frame_09_gx,frame_09_gy,frame_09_gz,frame_09_t_ms,frame_10_gx,frame_10_gy,frame_10_gz,frame_10_t_ms,frame_11_gx,frame_11_gy,frame_11_gz,frame_11_t_ms,frame_12_gx,frame_12_gy,frame_12_gz,frame_12_t_ms,frame_13_gx,frame_13_gy,frame_13_gz,frame_13_t_ms,frame_14_gx,frame_14_gy,frame_14_gz,frame_14_t_ms,frame_15_gx,frame_15_gy,frame_15_gz,frame_15_t_ms,frame_16_gx,frame_16_gy,frame_16_gz,frame_16_t_ms,frame_17_gx,frame_17_gy,frame_17_gz,frame_17_t_ms,frame_18_gx,frame_18_gy,frame_18_gz,frame_18_t_ms,frame_19_gx,frame_19_gy,frame_19_gz,frame_19_t_ms,frame_20_gx,frame_20_gy,frame_20_gz,frame_20_t_ms,frame_21_gx,frame_21_gy,frame_21_gz,frame_21_t_ms,frame_22_gx,frame_22_gy,frame_22_gz,frame_22_t_ms,frame_23_gx,frame_23_gy,frame_23_gz,frame_23_t_ms,frame_24_gx,frame_24_gy,frame_24_gz,frame_24_t_ms,frame_25_gx,frame_25_gy,frame_25_gz,frame_25_t_ms,frame_26_gx,frame_26_gy,frame_26_gz,frame_26_t_ms,frame_27_gx,frame_27_gy,frame_27_gz,frame_27_t_ms,frame_28_gx,frame_28_gy,frame_28_gz,frame_28_t_ms,frame_29_gx,frame_29_gy,frame_29_gz,frame_29_t_ms
20260320_123537,1,?,-9,63,-157,72,45,0,152,-128,56,92,7,17,92,17,0x28,VDOM|CHOSE_V,30,596.1,0.16,3210.1,3806.19,3806.36,157,70,-8.87,58.13,40.48,7.71,157,70,-157,47,45,70,36.63,15.8,,,34,60,68,0.0,39,30,70,16.37,47,40,52,32.6,18,23,66,65.25,-7,34,46,82.46,-5,41,63,100.36,12,51,50,130.24,11,43,63,130.48,-4,19,56,159.35,-14,26,68,177.28,-5,21,67,212.31,6,33,56,212.43,9,20,66,240.02,13,33,69,257.02,29,16,61,292.04,24,28,58,303.23,-2,29,51,319.04,-4,30,53,336.85,-23,38,54,353.13,-13,25,54,388.18,-2,34,59,400.15,-5,31,64,416.17,-7,22,61,433.28,-11,36,49,467.04,-20,29,59,478.91,-22,35,65,495.11,-45,59,59,528.23,-61,78,46,544.47,-101,63,46,578.18,-157,72,45,596.1
20260320_123537,2,?,-9,63,-74,54,52,0,59,-97,74,40,10,20,74,20,0x28,VDOM|CHOSE_V,29,556.61,17.94,4332.67,4889.28,4907.21,74,73,-8.72,59.14,25.98,6.64,74,73,-74,65,43,73,30.52,20.89,,,42,-41,60,0.0,65,-2,62,29.96,18,7,73,30.2,-15,29,54,59.82,-15,42,60,77.77,-29,26,68,95.06,-11,25,66,124.61,-12,47,57,142.54,-11,40,52,159.67,-1,35,65,170.49,-12,25,57,202.63,8,27,65,236.54,5,35,59,269.89,-7,29,64,270.07,-11,29,55,282.65,-1,42,59,300.58,-3,24,56,317.74,0,43,65,335.33,2,20,53,365.27,-8,24,65,383.21,0,28,68,395.16,-11,13,59,413.07,-7,25,63,442.96,-3,32,59,460.98,-23,35,54,478.87,-46,59,47,508.76,-49,72,43,526.73,-44,61,55,538.65,-74,54,52,556.61,,,,
20260320_123537,3,?,-9,63,37,47,48,0,120,-186,70,28,10,23,70,23,0x28,VDOM|CHOSE_V,27,524.09,0.18,5418.13,5942.22,5942.4,61,73,-2.63,55.52,19.93,7.28,61,73,-37,61,40,73,28.56,12.78,,,61,1,64,0.0,33,30,52,28.05,4,17,60,45.72,-3,24,62,79.37,11,5,61,79.58,-11,10,50,111.33,-20,35,55,111.44,-37,45,45,144.15,-8,36,65,156.17,-28,42,61,173.15,-15,21,57,207.85,3,26,53,208.05,-11,23,40,237.11,-2,22,56,254.35,0,33,57,283.22,-10,36,55,299.81,-6,39,60,316.98,-5,30,49,333.99,0,36,55,351.01,2,22,51,379.0,-1,25,49,396.93,-18,33,48,414.48,-7,26,73,444.36,-10,13,53,462.27,-15,38,53,474.0,-15,56,67,490.34,37,47,48,524.09,,,,,,,,,,,,
20260320_123537,4,R,-9,63,-16,36,-1742,0,804,-9894,171,16,6,2264,171,2264,0x54,H>TH|HDOM|CHOSE_H,26,492.44,16.78,6519.93,7012.37,7029.15,162,2201,21.77,-386.85,45.03,786.34,162,2201,-25,162,-2201,69,25.08,28.87,,,25,30,64,0.0,22,23,56,11.98,17,5,66,45.98,-2,29,69,61.44,-10,20,53,78.43,-5,33,55,94.21,-4,55,53,128.25,-7,48,54,128.42,-1,49,49,155.95,-2,36,53,189.43,-6,27,66,204.84,-16,23,62,221.24,1,0,66,238.31,16,19,61,254.95,26,22,40,266.22,35,48,11,302.12,60,38,-536,314.06,131,-34,-2028,332.04,162,-41,-1859,349.58,42,-10,-845,382.81,52,0,-16,399.11,-17,44,57,415.43,-25,105,-81,441.86,79,13,-1685,458.79,9,34,-2201,475.49,-16,36,-1742,492.44,,,,,,,,,,,,,,,,
20260320_123537,5,?,-9,63,-11,45,8,0,-67,-143,20,34,1,17,34,17,0x28,VDOM|CHOSE_V,23,447.81,16.1,7491.35,7939.16,7955.26,43,64,-12.87,54.17,15.09,11.11,43,64,-43,11,8,64,39.0,20.74,,,11,8,53,0.0,11,36,63,34.9,-18,41,59,46.83,-11,38,58,81.97,-29,26,58,93.81,-35,33,55,111.78,0,34,59,128.07,-6,38,53,144.68,-2,25,58,160.13,-6,25,49,194.12,-6,33,60,205.76,-23,34,57,222.07,-19,39,63,239.74,-4,21,56,273.37,7,31,55,290.59,-4,31,60,301.91,-11,34,53,319.93,-6,35,64,349.76,-23,28,59,367.79,-31,81,51,385.49,-37,97,46,413.72,-43,84,49,430.06,-11,45,8,447.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_123537,6,?,-9,63,36,9,-2101,0,-4,-956,53,41,0,484,53,484,0x50,HDOM|CHOSE_H,25,479.17,17.84,8335.99,8815.16,8833.01,50,2101,-7.8,-127.48,20.57,529.26,50,2101,-50,44,-2101,63,33.6,21.88,,,-7,15,61,0.0,44,5,56,35.18,3,30,47,35.34,-7,30,47,63.17,-11,38,34,79.11,-19,44,50,95.48,-14,41,51,111.72,-4,28,53,129.49,-10,39,45,162.13,-6,27,55,178.67,1,27,49,211.17,-2,28,33,223.26,-13,22,27,239.5,6,21,9,257.22,8,18,11,289.4,1,23,8,306.23,-2,14,17,323.77,-9,40,36,335.71,-14,13,60,353.48,-21,36,61,383.39,-43,62,41,401.32,-42,87,63,431.23,-50,97,-421,431.4,-20,46,-1579,467.16,36,9,-2101,479.17,,,,,,,,,,,,,,,,,,,,
20260320_123537,7,?,-9,63,-15,90,54,0,14,-138,54,11,8,35,54,35,0x28,VDOM|CHOSE_V,22,413.47,0.09,9167.02,9580.49,9580.58,45,71,-7.64,54.73,14.22,10.7,45,71,-20,45,28,71,37.0,17.42,,,45,-2,28,0.0,1,17,41,17.24,-2,35,45,35.14,-19,45,49,47.17,-18,42,39,83.14,-20,26,51,94.78,-14,34,66,112.41,-13,51,56,142.35,-5,35,50,159.53,-8,53,62,159.67,-18,32,54,195.07,-5,33,57,207.03,-5,35,66,242.94,-7,21,66,254.85,-20,34,71,272.79,-16,23,50,290.78,-18,29,48,318.99,-17,38,61,336.21,-2,49,62,366.07,6,42,69,383.49,2,52,59,401.4,-15,90,54,413.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_123537,8,?,-9,63,-31,100,-78,0,-17,-791,25,35,4,106,35,106,0x50,HDOM|CHOSE_H,22,431.34,0.12,9917.49,10348.83,10348.96,44,78,-11.64,17.64,15.01,40.29,44,78,-44,16,-78,67,34.14,21.11,,,-44,16,23,0.0,12,-7,67,33.31,-26,4,55,49.67,-12,38,56,66.76,-16,45,52,83.72,-10,24,40,94.78,16,23,29,111.49,6,24,9,145.46,-16,35,-15,162.71,3,40,-36,174.98,-4,31,-33,208.8,-21,39,-39,224.66,-13,46,-43,241.86,-2,33,28,253.71,-4,42,36,285.93,-11,42,44,303.13,4,28,23,319.12,-9,18,31,353.68,-21,28,45,371.31,-27,37,63,383.31,-30,65,31,401.42,-31,100,-78,431.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_123537,9,?,-9,63,-98,55,53,0,-151,-3314,129,110,2,959,129,959,0x50,HDOM|CHOSE_H,27,508.69,0.13,10653.01,11161.69,11161.83,127,896,-25.89,-93.41,51.93,287.93,127,896,-127,120,-896,78,33.96,19.32,,,14,-4,-816,0.0,120,-14,-896,16.18,36,21,-116,34.44,40,16,-95,46.32,24,11,-321,81.3,15,29,-612,98.29,8,10,-572,109.25,-23,42,-179,126.05,-43,38,48,143.94,-57,36,78,173.87,-32,35,60,173.97,0,55,50,208.88,-6,32,58,220.88,-22,47,57,238.35,-38,44,57,270.56,-35,31,57,288.26,-27,31,65,305.35,-32,37,57,333.25,-28,64,51,333.44,-18,46,59,368.17,-46,49,69,397.35,-41,44,53,413.63,-83,25,50,429.28,-119,30,53,446.45,-127,33,66,479.74,-81,74,44,479.94,-98,55,53,508.69,,,,,,,,,,,,
20260320_123537,10,?,-9,63,-78,138,33,0,-163,-40,197,91,11,22,197,22,0x28,VDOM|CHOSE_V,26,513.86,16.81,11496.44,12010.3,12027.1,188,74,-18.5,59.77,47.54,8.51,188,74,-100,188,33,74,37.38,25.39,,,-33,-17,68,0.0,188,28,74,35.07,-3,9,55,52.26,-15,30,41,68.68,-18,43,53,85.26,-26,45,62,96.69,-26,31,68,130.08,-18,29,59,147.5,-26,34,60,163.21,-37,34,58,195.81,-24,35,67,212.81,-32,35,67,229.15,-7,37,62,240.67,-8,36,63,275.04,-21,32,67,291.76,-17,39,59,321.59,-8,37,62,338.71,-19,25,63,355.96,-13,25,65,367.91,-5,34,61,385.85,-20,24,51,402.74,-19,41,61,433.7,-39,47,55,451.66,-57,52,62,479.88,-100,69,58,480.26,-78,138,33,513.86,,,,,,,,,,,,,,,,
