session_id,gesture_id,result,bias_gx,bias_gz,proc_gx,proc_gy,proc_gz,proc_btn,acc_v,acc_h,peak_v_pos,peak_v_neg,peak_h_pos,peak_h_neg,mag_v,mag_h,flags,flags_text,n_frames,duration_ms,latency_ms,t_press_ms,t_release_ms,t_pic_ms,peak_raw_gx,peak_raw_gz,mean_gx,mean_gz,std_gx,std_gz,max_abs_gx,max_abs_gz,min_gx,max_gx,min_gz,max_gz,mean_gy,std_gy,cal_bias_computed_gx,cal_bias_computed_gz,frame_00_gx,frame_00_gy,frame_00_gz,frame_00_t_ms,frame_01_gx,frame_01_gy,frame_01_gz,frame_01_t_ms,frame_02_gx,frame_02_gy,frame_02_gz,frame_02_t_ms,frame_03_gx,frame_03_gy,frame_03_gz,frame_03_t_ms,frame_04_gx,frame_04_gy,frame_04_gz,frame_04_t_ms,frame_05_gx,frame_05_gy,frame_05_gz,frame_05_t_ms,frame_06_gx,frame_06_gy,frame_06_gz,frame_06_t_ms,frame_07_gx,frame_07_gy,frame_07_gz,frame_07_t_ms,frame_08_gx,frame_08_gy,frame_08_gz,frame_08_t_ms,frame_09_gx,frame_09_gy,frame_09_gz,frame_09_t_ms,frame_10_gx,frame_10_gy,frame_10_gz,frame_10_t_ms,frame_11_gx,frame_11_gy,frame_11_gz,frame_11_t_ms,frame_12_gx,frame_12_gy,frame_12_gz,frame_12_t_ms,frame_13_gx,frame_13_gy,frame_13_gz,frame_13_t_ms,frame_14_gx,frame_14_gy,frame_14_gz,frame_14_t_ms,frame_15_gx,frame_15_gy,frame_15_gz,frame_15_t_ms,frame_16_gx,frame_16_gy,frame_16_gz,frame_16_t_ms,frame_17_gx,frame_17_gy,frame_17_gz,frame_17_t_ms,frame_18_gx,frame_18_gy,frame_18_gz,frame_18_t_ms,frame_19_gx,frame_19_gy,frame_19_gz,frame_19_t_ms,frame_20_gx,frame_20_gy,frame_20_gz,frame_20_t_ms,frame_21_gx,frame_21_gy,frame_21_gz,frame_21_t_ms,frame_22_gx,frame_22_gy,frame_22_gz,frame_22_t_ms,frame_23_gx,frame_23_gy,frame_23_gz,frame_23_t_ms,frame_24_gx,frame_24_gy,frame_24_gz,frame_24_t_ms,frame_25_gx,frame_25_gy,frame_25_gz,frame_25_t_ms,frame_26_gx,frame_26_gy,frame_26_gz,frame_26_t_ms,frame_27_gx,frame_27_gy,frame_27_gz,frame_27_t_ms,frame_28_gx,frame_28_gy,frame_28_gz,frame_28_t_ms,frame_29_gx,frame_29_gy,frame_29_gz,frame_29_t_ms
20260320_120843,1,U,-9,63,14976,-8450,5943,0,100277,30095,27282,0,7472,0,27282,7472,0x2E,V>TH|H>TH|VDOM|CHOSE_V,8,125.2,35.49,2783.65,2908.84,2944.34,27273,7535,14398.75,4559.88,10077.66,2192.22,27273,7535,1437,27273,1726,7535,775.5,7787.42,,,1437,1745,1726,0.0,2553,1072,3130,17.1,5564,4114,3634,29.09,19661,11333,2847,64.96,27273,9912,4133,76.88,24972,-3704,7531,94.82,18754,-9818,7535,124.83,14976,-8450,5943,125.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_120843,2,U,-9,63,11078,-2353,1928,0,129536,7777,24370,6848,4115,4036,24370,4115,0x2E,V>TH|H>TH|VDOM|CHOSE_V,10,175.49,11.34,3183.98,3359.48,3370.82,24361,4178,14053.3,1027.2,10344.44,2896.88,24361,4178,-6857,24361,-3973,4178,-710.3,4236.55,,,-6857,7947,-3973,0.0,1079,5623,-3123,13.3,10109,-296,-1488,42.93,16956,-5795,1276,43.05,18351,-3796,2314,78.71,22871,-2039,3609,90.62,24240,-2644,4178,108.08,24361,-1952,3708,142.8,18345,-1798,1843,158.77,11078,-2353,1928,175.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_120843,3,D,-9,63,18890,-7442,7076,0,17157,11482,16345,17015,7144,3812,17015,7144,0x2E,V>TH|H>TH|VDOM|CHOSE_V,7,109.94,29.77,3599.53,3709.47,3739.25,18890,7207,5141.86,2705.14,14097.97,4471.35,18890,7207,-17024,18890,-3749,7207,1673.86,5301.18,,,-17024,2899,-3749,0.0,-10588,-860,-1678,10.97,2857,117,377,27.25,9751,5972,3257,62.5,15771,9202,6446,74.58,16336,1829,7207,109.81,18890,-7442,7076,109.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_120843,4,U,-9,63,7788,-1947,3171,0,89169,23369,17334,5420,4756,1358,17334,4756,0x2E,V>TH|H>TH|VDOM|CHOSE_V,10,176.06,12.0,4045.17,4221.22,4233.22,17325,4819,9687.6,2710.7,7402.0,2325.06,17325,4819,-5429,17325,-1295,4819,2744.8,3919.54,,,-5429,4965,-743,0.0,-606,10397,-1295,11.92,9611,7272,719,47.75,12238,2301,2746,59.7,12145,49,4064,76.7,14076,1760,4819,93.59,17241,3513,4734,111.13,17325,809,4677,140.13,12487,-1671,4215,158.08,7788,-1947,3171,176.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_120843,5,U,-9,63,10609,-191,-691,0,118446,24896,21546,0,5665,0,21546,5665,0x2E,V>TH|H>TH|VDOM|CHOSE_V,8,128.64,33.28,4506.98,4635.62,4668.9,21537,5728,16124.0,3080.75,4535.44,2102.58,21537,5728,9939,21537,-691,5728,-893.0,1991.1,,,9939,2374,4576,0.0,12847,718,5728,17.92,19482,-1511,5003,29.9,21537,-914,3703,47.79,20543,-643,2529,77.69,18218,-3678,2284,111.35,15817,-3299,1514,128.42,10609,-191,-691,128.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_120843,6,U,-9,63,11689,-1411,-613,0,107942,26616,22588,16302,7583,716,22588,7583,0x2E,V>TH|H>TH|VDOM|CHOSE_V,10,175.79,17.0,4887.45,5063.24,5080.24,22579,7646,11955.0,2657.0,12365.32,3237.8,22579,7646,-16311,22579,-653,7646,-158.0,2415.17,,,-16311,3477,-653,0.0,-351,-3956,-107,17.58,6881,-1503,-36,34.03,14448,3328,3904,67.33,20152,2394,7418,67.67,22579,-804,7646,96.61,21645,-799,5102,113.81,21482,-1093,2885,131.0,17336,-1213,1024,147.31,11689,-1411,-613,175.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_120843,7,U,-9,63,9079,769,-1157,0,101576,22550,19036,0,6063,0,19036,6063,0x2E,V>TH|H>TH|VDOM|CHOSE_V,7,128.5,10.96,5403.01,5531.51,5542.47,19027,6126,15800.14,3110.14,3703.05,2562.0,19027,6126,9079,19027,-1157,6126,-1652.14,1429.92,,,17613,-3388,6126,0.0,19027,-3132,5110,28.49,18681,-1951,4622,44.97,17719,-955,3800,61.29,16052,-1978,2330,78.4,12430,-930,940,95.48,9079,769,-1157,128.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_120843,8,U,-9,63,6687,-4534,-1302,0,124531,27211,23040,0,7711,1346,23040,7711,0x2E,V>TH|H>TH|VDOM|CHOSE_V,9,179.17,0.13,5814.98,5994.15,5994.28,23031,7774,14571.78,2934.78,6178.01,3396.84,23031,7774,6418,23031,-1302,7774,-3515.11,4620.31,,,6418,6233,1861,0.0,13119,833,4461,33.12,15828,-4375,6880,49.85,20449,-5079,7774,66.28,23031,-3370,5239,83.11,21485,-4092,2811,98.56,13872,-8742,-28,126.33,10257,-8510,-1283,144.24,6687,-4534,-1302,179.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_120843,9,U,-9,63,8858,-3443,-3688,0,72385,-9937,17777,11661,1431,4526,17777,4526,0x2E,V>TH|H>TH|VDOM|CHOSE_V,11,206.44,16.89,6231.16,6437.6,6454.49,18438,4463,9054.55,-1474.09,9833.9,2210.51,18438,4463,-11670,18438,-4463,1494,-3644.64,5863.2,,,-11670,6470,-4463,0.0,-3993,5021,-2451,47.59,4361,825,1058,47.76,6078,-1827,1494,65.56,9996,-3158,986,95.41,16584,-7283,104,113.31,17385,-9633,-308,142.64,17768,-10598,-1875,159.34,18438,-9511,-3157,177.22,15795,-6954,-3915,194.6,8858,-3443,-3688,206.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_120843,10,U,-9,63,7831,-805,1479,0,60277,17607,19718,14755,5297,1127,19718,5297,0x2E,V>TH|H>TH|VDOM|CHOSE_V,10,189.73,16.13,6677.78,6867.51,6883.64,19709,5360,8987.2,2765.7,10335.7,1993.07,19709,5360,-14764,19709,-1064,5360,503.9,2788.98,,,-14764,7018,-1064,0.0,-831,3024,472,29.93,7421,901,2538,47.85,10310,1616,4947,77.73,12922,-766,5360,77.9,18344,-2172,3537,95.68,19709,-1350,3124,130.74,17413,-1262,4081,161.66,11517,-1165,3183,173.62,7831,-805,1479,189.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
